#repetition,Firm0,Firm1
0,1,2
1,2,1
2,1,2
3,2,1
4,1,2
5,2,1
6,1,2
7,2,1
8,1,2
9,2,1
10,1,2
11,2,1
12,1,2
13,2,1
14,1,2
15,2,1
16,1,2
17,2,1
18,1,2
19,2,1
20,1,2
21,2,1
22,1,2
23,2,1
24,1,2
25,2,1
26,1,2
27,2,1
28,1,2
29,2,1
30,1,2
31,2,1
32,1,2
33,2,1
34,1,2
35,2,1
36,1,2
37,2,1
38,1,2
39,2,1
40,1,2
41,2,1
42,1,2
43,2,1
44,1,2
45,2,1
46,1,2
47,2,1
48,1,2
49,2,1
50,1,2
51,2,1
52,1,2
53,2,1
54,1,2
55,2,1
56,1,2
57,2,1
58,1,2
59,2,1
60,1,2
61,2,1
62,1,2
63,2,1
64,1,2
65,2,1
66,1,2
67,2,1
68,1,2
69,2,1
70,1,2
71,2,1
72,1,2
73,2,1
74,1,2
75,2,1
76,1,2
77,2,1
78,1,2
79,2,1
80,1,2
81,2,1
82,1,2
83,2,1
84,1,2
85,2,1
86,1,2
87,2,1
88,1,2
89,2,1
90,1,2
91,2,1
92,1,2
93,2,1
94,1,2
95,2,1
96,1,2
97,2,1
98,1,2
99,2,1
100,1,2
101,2,1
102,1,2
103,2,1
104,1,2
105,2,1
106,1,2
107,2,1
108,1,2
109,2,1
110,1,2
111,2,1
112,1,2
113,2,1
114,1,2
115,2,1
116,1,2
117,2,1
118,1,2
119,2,1
120,1,2
121,2,1
122,1,2
123,2,1
124,1,2
125,2,1
126,1,2
127,2,1
128,1,2
129,2,1
130,1,2
131,2,1
132,1,2
133,2,1
134,1,2
135,2,1
136,1,2
137,2,1
138,1,2
139,2,1
140,1,2
141,2,1
142,1,2
143,2,1
144,1,2
145,2,1
146,1,2
147,2,1
148,1,2
149,2,1
150,1,2
151,2,1
152,1,2
153,2,1
154,1,2
155,2,1
156,1,2
157,2,1
158,1,2
159,2,1
160,1,2
161,2,1
162,1,2
163,2,1
164,1,2
165,2,1
166,1,2
167,2,1
168,1,2
169,2,1
170,1,2
171,2,1
172,1,2
173,2,1
174,1,2
175,2,1
176,1,2
177,2,1
178,1,2
179,2,1
180,1,2
181,2,1
182,1,2
183,2,1
184,1,2
185,2,1
186,1,2
187,2,1
188,1,2
189,2,1
190,1,2
191,2,1
192,1,2
193,2,1
194,1,2
195,2,1
196,1,2
197,2,1
198,1,2
199,2,1
200,1,2
201,2,1
202,1,2
203,2,1
204,1,2
205,2,1
206,1,2
207,2,1
208,1,2
209,2,1
210,1,2
211,2,1
212,1,2
213,2,1
214,1,2
215,2,1
216,1,2
217,2,1
218,1,2
219,2,1
220,1,2
221,2,1
222,1,2
223,2,1
224,1,2
225,2,1
226,1,2
227,2,1
228,1,2
229,2,1
230,1,2
231,2,1
232,1,2
233,2,1
234,1,2
235,2,1
236,1,2
237,2,1
238,1,2
239,2,1
240,1,2
241,2,1
242,1,2
243,2,1
244,1,2
245,2,1
246,1,2
247,2,1
248,1,2
249,2,1
250,1,2
251,2,1
252,1,2
253,2,1
254,1,2
255,2,1
256,1,2
257,2,1
258,1,2
259,2,1
260,1,2
261,2,1
262,1,2
263,2,1
264,1,2
265,2,1
266,1,2
267,2,1
268,1,2
269,2,1
270,1,2
271,2,1
272,1,2
273,2,1
274,1,2
275,2,1
276,1,2
277,2,1
278,1,2
279,2,1
280,1,2
281,2,1
282,1,2
283,2,1
284,1,2
285,2,1
286,1,2
287,2,1
288,1,2
289,2,1
290,1,2
291,2,1
292,1,2
293,2,1
294,1,2
295,2,1
296,1,2
297,2,1
298,1,2
299,2,1
300,1,2
301,2,1
302,1,2
303,2,1
304,1,2
305,2,1
306,1,2
307,2,1
308,1,2
309,2,1
310,1,2
311,2,1
312,1,2
313,2,1
314,1,2
315,2,1
316,1,2
317,2,1
318,1,2
319,2,1
320,1,2
321,2,1
322,1,2
323,2,1
324,1,2
325,2,1
326,1,2
327,2,1
328,1,2
329,2,1
330,1,2
331,2,1
332,1,2
333,2,1
334,1,2
335,2,1
336,1,2
337,2,1
338,1,2
339,2,1
340,1,2
341,2,1
342,1,2
343,2,1
344,1,2
345,2,1
346,1,2
